Student ID,Subject,Level
1,Mathematics,Beginner
1,Physics,Intermediate
1,Chemistry,Intermediate
1,English,Beginner
1,History,Intermediate
1,Computer Science,Advanced
2,Art,Beginner
2,Geography,Intermediate
2,Physics,Advanced
2,Mathematics,Intermediate
2,Chemistry,Beginner
2,English,Intermediate
3,Mathematics,Beginner
3,Physics,Intermediate
3,Chemistry,Advanced
3,English,Beginner
3,History,Intermediate
3,Computer Science,Advanced
4,Art,Beginner
4,Geography,Intermediate
4,Physics,Advanced
4,Mathematics,Intermediate
4,Chemistry,Beginner
4,English,Intermediate
5,Mathematics,Advanced
5,Physics,Intermediate
5,Chemistry,Intermediate
5,English,Beginner
5,History,Intermediate
5,Computer Science,Advanced
6,Art,Beginner
6,Geography,Intermediate
6,Physics,Advanced
6,Mathematics,Intermediate
6,Chemistry,Beginner
6,English,Intermediate
7,Mathematics,Advanced
7,Physics,Intermediate
7,Chemistry,Intermediate
7,English,Beginner
7,History,Intermediate
7,Computer Science,Advanced
8,Art,Beginner
8,Geography,Intermediate
8,Physics,Advanced
8,Mathematics,Intermediate
8,Chemistry,Beginner
8,English,Intermediate
9,Mathematics,Advanced
9,Physics,Intermediate
9,Chemistry,Intermediate
9,English,Beginner
9,History,Intermediate
9,Computer Science,Advanced
10,Art,Beginner
10,Geography,Intermediate
10,Physics,Advanced
10,Mathematics,Intermediate
10,Chemistry,Beginner
10,English,Intermediate